dataset,method,phase,success,status,reason,source,selected_success
organoid,exact_repulsion_diagnostic,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
embryoid_body,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/embedding.json,True
embryoid_body,standard_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,reduced_repulsion_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,weighted_knn,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,parametric_umap,internal_baselines,False,unavailable,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow",/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,False
embryoid_body,numap,internal_baselines,False,unavailable,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,paramrepulsor,internal_baselines,False,unavailable,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,ours,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
