metric,method,coil20,coil100,pancreas,pancreas_batch_corrected,fashion_mnist,mnist_oos,organoid,embryoid_body,mean,median,n_datasets,mean_rank,median_rank,n_rank_datasets,wins,top2
local_displacement,ours_oracle_neighbors,0.2661298906219345,0.3075979744915409,0.42354721977959475,0.39236094700611035,0.2831786046524969,0.2798414328748538,0.39690904052007686,0.31519003892617337,0.33309439360909765,0.31139400670885714,8,2.0,2.0,8,0.0,8.0
local_displacement,spectral_only,0.8416208900374382,0.4744313535740143,1.2129516877512678,1.6374879865407574,0.8140828746098198,0.6626814258046527,0.8009123873925263,0.9439218378282321,0.9235113054423387,0.8278518823236289,8,4.625,5.0,8,0.0,0.0
local_displacement,standard_umap,0.5433300137443183,2.2136486105074002,1.6435873639742236,2.1538449056311233,0.3841399929880161,0.38885594461057343,0.5720026395499394,0.4959845338716492,1.0494242506096554,0.5576663266471289,8,4.375,4.0,8,0.0,0.0
fuzzy_weighted_mse,no_repulsion,0.06299117668777883,0.03707916318642416,0.13748710360041153,0.17504724027633242,0.10913543835493658,0.12110272485069788,0.3002541543769575,0.15702984386740235,0.13751585565011765,0.1292949142255547,8,2.25,2.0,8,1.0,5.0
fuzzy_weighted_mse,ours,0.0641396180835477,0.03712060633364844,0.139583377153776,0.17976438135413117,0.10974344384212446,0.12169952028515119,0.3033819463258104,0.15919937980539686,0.13932903414794828,0.1306414487194636,8,3.875,4.0,8,0.0,1.0
fuzzy_weighted_mse,ours_oracle_neighbors,0.0638513410696194,0.03715752554301147,0.13640848813724094,0.17823983221329898,0.10952053568359878,0.12122384545788253,0.3002570688298597,0.1558437435841364,0.13781279756483103,0.12881616679756175,8,2.875,3.0,8,1.0,2.0
fuzzy_weighted_mse,spectral_only,0.019045803717843836,0.06371036370878086,0.2735469403905965,0.45120239037489507,0.2871489477441236,0.251442004863033,0.056987017745391284,0.23168920883779437,0.2043465846728073,0.24156560685041367,8,4.0,5.0,8,2.0,2.0
fuzzy_weighted_mse,standard_umap,0.049392492861816815,0.04532766143634376,0.1558926672639922,0.1615890100700833,0.06860658887191885,0.08444514767585817,0.24497505657311497,0.1100128883195759,0.11503018913408801,0.09722901799771703,8,2.0,1.5,8,4.0,6.0
fuzzy_weighted_bce,no_repulsion,0.26195611223426635,0.16088903951251868,0.5470671584530521,0.5658445035194778,0.36398959105201223,0.44343181891961536,0.8823996037379781,0.5013505578381393,0.4658660481583825,0.47239118837887734,8,2.25,2.5,8,2.0,4.0
fuzzy_weighted_bce,ours,0.26513433996184554,0.16105748139496226,0.5509083526286671,0.5774732569350203,0.36522101926881373,0.44443118966725703,0.8944325263149101,0.5060705185811175,0.4705910855940742,0.47525085412418727,8,3.75,4.0,8,0.0,1.0
fuzzy_weighted_bce,ours_oracle_neighbors,0.26393139549317945,0.16108216896007307,0.5394059322108375,0.5723427214612067,0.36464944781070247,0.4423366561293129,0.8847355872008505,0.49715813331351505,0.4657052553224597,0.46974739472141397,8,2.625,2.5,8,1.0,4.0
fuzzy_weighted_bce,spectral_only,0.08252607852827744,0.21393207330098993,0.7738546975520861,1.2816661626538608,0.79026877761257,0.7076590396362218,0.19407858992572435,0.657761817263303,0.5877184045591292,0.6827104284497624,8,4.0,5.0,8,2.0,2.0
fuzzy_weighted_bce,standard_umap,0.23730774717629013,0.20732876507158515,0.644987523650471,0.5901140605598488,0.25448563140625263,0.3327954873827233,0.7065605029846661,0.37241613124387246,0.4182494811844637,0.3526058093132979,8,2.375,2.0,8,3.0,5.0
repulsion_accumulation_score,no_repulsion,0.25218143857394654,0.31680445034056903,0.30773570103826886,0.2603470682242452,0.2391348843695596,0.2302807092780713,0.2747577727777159,0.26136971391144165,0.26782646731422727,0.2608583910678434,8,1.0,1.0,8,8.0,8.0
repulsion_accumulation_score,ours,0.3080378282168466,0.32278732142669875,0.3260713270086127,0.34264095252959786,0.25887272922787813,0.2477006820535753,0.32011041652980227,0.29110513743096583,0.30216579930299714,0.31407412237332444,8,3.0,3.0,8,0.0,0.0
repulsion_accumulation_score,ours_oracle_neighbors,0.30768447786621334,0.3226080205397577,0.31695702928511515,0.33674969375987407,0.2564651932802517,0.24607052399043458,0.31021592594067965,0.2739970776656282,0.2963434927909943,0.30895020190344646,8,2.0,2.0,8,0.0,8.0
repulsion_accumulation_score,spectral_only,0.5909749363083392,0.49530640938319265,0.6310750745898891,0.7515472193386109,0.5166291372790002,0.45712208993639797,0.4872467171585591,0.5461662324569229,0.559508477056364,0.5313976848679616,8,5.0,5.0,8,0.0,0.0
repulsion_accumulation_score,standard_umap,0.48634806087033616,0.42612840808643443,0.39678642174977824,0.5007762027145838,0.2712824198639719,0.27872947381972335,0.4073536714358686,0.345447560367266,0.38910652736349527,0.4020700465928234,8,4.0,4.0,8,0.0,0.0
periphery_percentile,no_repulsion,43.96090534979423,46.434156378600825,57.189699843804796,48.21038441634842,49.829544740595956,46.31460769266868,48.413758801672365,50.38218383753806,48.841905132627915,48.31207160901039,8,1.25,1.0,8,6.0,8.0
periphery_percentile,ours,47.901234567901234,46.55967078189301,57.516004396917324,53.21964041840486,50.14294305735766,47.20132456719411,50.527455436651515,50.54615038839524,50.45180295183937,50.33519924700459,8,2.875,3.0,8,0.0,2.0
periphery_percentile,ours_oracle_neighbors,47.80864197530864,46.51440329218107,57.63293738408498,52.98424655884509,50.18326821863947,47.27505709252649,49.8285798130961,50.47061617914151,50.33721881422792,50.005924015867784,8,2.625,2.5,8,0.0,4.0
periphery_percentile,spectral_only,57.40226337448559,50.25925925925926,41.08307601986211,55.0728983709264,50.37183914160014,49.209360158523864,69.44471665255833,50.91919337436892,52.97032579394808,50.64551625798453,8,4.125,4.5,8,1.0,1.0
periphery_percentile,standard_umap,57.56172839506173,54.94032921810699,71.76569026046835,54.77851576434456,50.60068930540452,49.18477025104149,55.25281192778578,50.07504781356992,55.51994786697291,54.85942249122577,8,4.125,4.5,8,1.0,1.0
