dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
pancreas,repulsion_oracle_diagnostic,recall_at_15,subset,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,50,0,0.256,0.2613333333333333,-0.005333333333333332,0.0,-0.027999999999999997,0.014699999999999519,0.16,0.62,0.7329267073292671,monte_carlo_sign_flip_plus_one,10000,10000,15039122537194684891,higher,1.0
pancreas,repulsion_oracle_diagnostic,ndcg,subset,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,50,0,0.3215769925971746,0.32535698208215363,-0.003779989484979044,0.0016129941572997908,-0.021479934933420094,0.011822000270841933,0.54,0.04,0.6838316168383162,monte_carlo_sign_flip_plus_one,10000,10000,8054319688046384220,higher,1.0
pancreas,repulsion_oracle_diagnostic,local_displacement,subset,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,50,0,0.4080623613583231,0.4225672209813907,0.014504859623067584,-0.004919877036560938,-0.013843325431768323,0.047716276978270716,0.42,0.0,0.39956004399560047,monte_carlo_sign_flip_plus_one,10000,10000,2101790650584396272,lower,1.0
pancreas,spectral_only,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.05744817268647146,0.17909809788416328,0.13333333333333336,0.17352710693168058,0.18446961601481796,0.7732421457576405,0.14575764052147894,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,7501761614683385679,higher,0.0047995200479952005
pancreas,spectral_only,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.3209751878140304,0.09539750439839842,0.22557768341563195,0.20277049208144443,0.2201857942608164,0.23103949762320997,0.8954904894208164,0.005556742893780722,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,10296035461413015207,higher,0.005599440055994401
pancreas,spectral_only,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.43502234129973927,1.2129516877512678,0.7779293464515284,0.6027196711076858,0.7505068970318176,0.8055136903111584,0.815558880102586,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,15440848837308715484,lower,0.003999600039996
pancreas,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.21044382702856732,0.02610244354206739,0.0,0.02205599487069887,0.03012075229749946,0.4486001282325283,0.23744389826886086,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,17636122168520685343,higher,0.0007999200079992001
pancreas,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.3209751878140304,0.2975585383800351,0.02341664943399524,0.018563832112556966,0.019546375779012144,0.027203524051293126,0.5633682410771532,0.004274417610600555,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,3388127109708696718,higher,0.005599440055994401
pancreas,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.43502234129973927,1.6435873639742236,1.2085650226744848,0.044789841167605815,0.7828346236221805,1.721022244291429,0.599487069886728,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,235134347607173645,lower,0.003999600039996
pancreas,numap,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/pancreas/numap/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.01337892712117974,0.22316734344945502,0.2,0.21776697299992875,0.22843912516919568,0.8702714255182732,0.11241718315879462,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,16393543210217197290,higher,0.0047995200479952005
