method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,273,gamma,0.2,0.1,0.13333333333333333,0.26666666666666666,0.3275107039587899
ours_full,274,gamma,0.2,0.1,0.13333333333333333,0.3333333333333333,0.2723774964630612
ours_full,275,gamma,0.0,0.2,0.13333333333333333,0.1,0.09278621282351998
ours_full,276,gamma,0.2,0.1,0.2,0.23333333333333334,0.20889442152431587
ours_full,277,gamma,0.2,0.1,0.06666666666666667,0.26666666666666666,0.3261243548765676
ours_full,278,gamma,0.0,0.2,0.13333333333333333,0.2,0.20017489726072887
ours_full,279,gamma,0.2,0.2,0.13333333333333333,0.2,0.29715580613973197
ours_full,280,gamma,0.2,0.4,0.26666666666666666,0.16666666666666666,0.2716492726772018
ours_full,281,gamma,0.0,0.1,0.2,0.3,0.28372695053283187
ours_full,282,gamma,0.0,0.0,0.0,0.23333333333333334,0.177395374325021
ours_full,283,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.2094939703572561
ours_full,284,gamma,0.4,0.2,0.2,0.13333333333333333,0.14789555351112352
ours_full,285,gamma,0.2,0.1,0.13333333333333333,0.3,0.24484080562101543
ours_full,286,gamma,0.2,0.2,0.2,0.26666666666666666,0.2525403266104162
ours_full,287,gamma,0.0,0.3,0.2,0.23333333333333334,0.22957560516880843
ours_full,288,gamma,0.0,0.2,0.2,0.13333333333333333,0.12567056930940013
ours_full,289,gamma,0.2,0.1,0.26666666666666666,0.26666666666666666,0.275322549483231
ours_full,290,gamma,0.0,0.1,0.2,0.16666666666666666,0.1474092358257934
ours_full,291,gamma,0.0,0.0,0.0,0.3,0.26631002811688825
ours_full,292,gamma,0.0,0.0,0.13333333333333333,0.2,0.18375284151841476
ours_full,293,gamma,0.0,0.1,0.13333333333333333,0.2,0.22029209428971624
ours_full,294,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.18225610014119034
ours_full,295,gamma,0.2,0.2,0.2,0.26666666666666666,0.3345202235993853
ours_full,296,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.05724707747377421
ours_full,297,gamma,0.0,0.1,0.2,0.13333333333333333,0.1533445802708047
ours_full,298,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11924916289185178
ours_full,299,gamma,0.0,0.1,0.26666666666666666,0.2,0.22149277135914353
ours_full,300,gamma,0.0,0.0,0.2,0.13333333333333333,0.13646544671578048
ours_full,301,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.1966078222525211
ours_full,302,gamma,0.0,0.0,0.13333333333333333,0.3,0.28461042203113285
ours_full,303,gamma,0.2,0.2,0.13333333333333333,0.16666666666666666,0.2710782821631696
ours_full,304,gamma,0.0,0.0,0.0,0.13333333333333333,0.11198301596439468
ours_full,305,gamma,0.0,0.0,0.06666666666666667,0.1,0.07368721052118408
ours_full,306,gamma,0.0,0.2,0.2,0.2,0.25237806143192615
ours_full,307,gamma,0.2,0.2,0.26666666666666666,0.26666666666666666,0.3166646770042778
ours_full,308,gamma,0.0,0.2,0.2,0.23333333333333334,0.20319774273765304
