query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
283,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
284,gamma,0.0,0.0666666666666666,0.4,0.2,0.4,0.13333333333333341
285,gamma,0.0,0.1333333333333333,0.2,0.1333333333333333,0.2,0.0
286,gamma,0.0,0.1333333333333333,0.2,0.2,0.2,0.06666666666666671
287,gamma,0.2,0.2666666666666666,0.0,0.2,-0.2,-0.0666666666666666
288,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
289,gamma,0.2,0.1333333333333333,0.2,0.2666666666666666,0.0,0.1333333333333333
290,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
291,gamma,0.0,0.0,0.0,0.0,0.0,0.0
292,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
293,gamma,0.2,0.2,0.0,0.1333333333333333,-0.2,-0.06666666666666671
294,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
295,gamma,0.0,0.1333333333333333,0.2,0.2,0.2,0.06666666666666671
296,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
297,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
298,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
299,gamma,0.0,0.0666666666666666,0.0,0.2666666666666666,0.0,0.2
300,gamma,0.0,0.0,0.0,0.2,0.0,0.2
301,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
302,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
303,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
304,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
305,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
306,gamma,0.2,0.1333333333333333,0.0,0.2,-0.2,0.06666666666666671
307,gamma,0.0,0.0,0.2,0.2666666666666666,0.2,0.2666666666666666
308,gamma,0.2,0.0666666666666666,0.0,0.2,-0.2,0.13333333333333341
309,gamma,0.2,0.2,0.0,0.0666666666666666,-0.2,-0.13333333333333341
310,gamma,0.0,0.0,0.2,0.2,0.2,0.2
311,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
312,gamma,0.0,0.0,0.0,0.0,0.0,0.0
313,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
314,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
315,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
316,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
317,gamma,0.0,0.0,0.2,0.2666666666666666,0.2,0.2666666666666666
318,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
319,gamma,0.0,0.0,0.4,0.2,0.4,0.2
320,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
321,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
322,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
323,acinar,0.0,0.0666666666666666,0.4,0.1333333333333333,0.4,0.06666666666666671
324,acinar,0.0,0.0,0.0,0.0,0.0,0.0
325,acinar,0.0,0.1333333333333333,0.0,0.0,0.0,-0.1333333333333333
326,acinar,0.0,0.2,0.2,0.2,0.2,0.0
327,acinar,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
328,acinar,0.0,0.2,0.2,0.2666666666666666,0.2,0.0666666666666666
329,acinar,0.0,0.0,0.0,0.0,0.0,0.0
330,acinar,0.0,0.0,0.2,0.2,0.2,0.2
331,acinar,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
332,acinar,0.0,0.2666666666666666,0.0,0.2666666666666666,0.0,0.0
333,acinar,0.0,0.0,0.0,0.0,0.0,0.0
334,acinar,0.0,0.0,0.2,0.1333333333333333,0.2,0.1333333333333333
335,acinar,0.2,0.3333333333333333,0.4,0.2,0.2,-0.1333333333333333
336,acinar,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
337,acinar,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
338,acinar,0.4,0.2666666666666666,0.4,0.2666666666666666,0.0,0.0
339,acinar,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
340,acinar,0.0,0.0,0.0,0.0,0.0,0.0
341,acinar,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
