split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
query,internal,1333,0.6391597899474869,0.8129532383095774,0.6397599399849963,0.8150037509377345,-0.5805663451303539,-0.033583856012294036,0.6436917239785063,0.3017033990829037,-0.028159853990015568,0.30463641667888397,0.003950987746936734,0.0,0.8222222222222223,0.5,26,0.5,26,-0.5140018637596152,0.42803917247433193,0.5151068407105742,uniform,sparse_bridge,0
query,A_spiral,667,0.7154422788605697,0.8844577711144429,0.7163418290854572,0.8875562218890555,-0.6439758685854473,-0.14027756200532618,0.6696822798783414,0.2613647557876331,-0.13239057499637807,0.2657560804552147,0.007896051974012993,0.0,0.8666666666666667,0.4666666666666667,15,0.4666666666666667,15,-0.5198670498617256,0.23643626421894295,0.5151068407105742,uniform,sparse_bridge,0
query,B_tree,666,0.5627627627627628,0.7413413413413413,0.5630630630630631,0.7423423423423423,-0.5170616121805831,0.07327005074048741,0.6176621432199628,0.34210261091165073,0.07622736960044058,0.34357513178577187,0.0,0.0,0.7866666666666667,0.5454545454545454,11,0.5454545454545454,11,-0.4793004829687084,0.5609257821004312,0.5151068407105742,uniform,sparse_bridge,0
query,bridge_AB,80,0.8800000000000001,0.8675,0.8925000000000001,0.9283333333333335,-0.1665719642518063,-0.09102672321616145,0.3554260786122254,0.21863269614338837,-0.01116023733987262,0.27234218627661644,0.0,0.0,0.8675,0.1325,1200,0.3548387096774194,31,-0.3672502259320167,0.30409974915203714,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_0,90,0.5822222222222222,0.7392592592592593,0.5822222222222222,0.7392592592592593,-0.6917087687657034,-0.05424181109950674,0.7344445065707654,0.41955287544023345,-0.05424181109950674,0.41955287544023345,0.0,0.0,,,0,,0,-0.7118673187125132,0.5713239581120048,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_1,85,0.548235294117647,0.732549019607843,0.548235294117647,0.732549019607843,-0.269261604251927,0.25672308811600425,0.4477516610439092,0.3323832409155,0.25672308811600425,0.3323832409155,0.0,0.0,,,0,,0,-0.10527649385539649,0.6774216074829804,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_2,85,0.548235294117647,0.7192156862745098,0.548235294117647,0.7239215686274509,-0.42039091815610274,0.26093405562385447,0.5202111916890919,0.35288325785395824,0.27539511146337664,0.3673443136934804,0.0,0.0,,,0,,0,-0.10895033873673256,0.6545238230988178,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_3,106,0.5754716981132075,0.7477987421383646,0.5773584905660377,0.7490566037735849,-0.5733799827625523,0.0688539722270317,0.674229161277548,0.3122916818733921,0.07351847910705095,0.30762717499337294,0.0,0.0,0.7866666666666666,0.5454545454545454,11,0.5454545454545454,11,-0.3961828658150609,0.5306428238887537,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_4,97,0.5670103092783505,0.7587628865979381,0.5670103092783505,0.7601374570446735,-0.45846650851335824,0.14427177989401943,0.5609731811411602,0.34900741831751037,0.14680731479182743,0.3515429532153183,0.0,0.0,,,0,,0,-0.18984934577373155,0.563947990918333,0.5151068407105742,uniform,sparse_bridge,0
query,B_branch_5,97,0.5690721649484536,0.7422680412371132,0.5690721649484536,0.7422680412371132,-0.4596022403178368,0.04631209068465429,0.6250448710534388,0.3210935207870697,0.04631209068465429,0.3210935207870697,0.0,0.0,,,0,,0,-0.44938308614172656,0.49185083795928797,0.5151068407105742,uniform,sparse_bridge,0
