split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
query,B_branch_4,97,0.534020618556701,0.7567010309278351,0.534020618556701,0.7567010309278351,-0.6469257020811987,-0.067300289232738,0.7084884115832668,0.3613354325715814,-0.067300289232738,0.3613354325715814,0.0,0.0,,,0,,0,-0.5775205467636196,0.4782157287572068,0.580929522066829,uniform,disconnected,0
query,B_branch_5,97,0.5876288659793814,0.7408934707903779,0.5876288659793814,0.7408934707903779,-0.4756625028905603,0.0806377255013753,0.5432564617383077,0.3152327330715175,0.0806377255013753,0.3152327330715175,0.0,0.0,,,0,,0,-0.4419451051982552,0.5097510429364038,0.580929522066829,uniform,disconnected,0
query,B_branch_6,106,0.5698113207547169,0.7433962264150942,0.5698113207547169,0.7433962264150942,-0.6287693316268907,-0.0746974701180812,0.6645898955082237,0.2094724506378937,-0.0746974701180812,0.2094724506378937,0.0,0.0,,,0,,0,-0.3825720167141999,0.2555460983064405,0.580929522066829,uniform,disconnected,0
reference,all,4000,0.70245,0.7983333333333333,0.70245,0.7983333333333333,-0.558473055675908,-0.0687907916369327,0.6211151620689359,0.3253347095739565,-0.0687579821281375,0.3253675190827517,0.0041166666666666,0.0,,,0,,0,-0.6163139152634105,0.4010859268507067,0.580929522066829,fitgrid,disconnected,0
reference,internal,4000,0.70245,0.7983333333333333,0.70245,0.7983333333333333,-0.558473055675908,-0.0687907916369327,0.6211151620689359,0.3253347095739565,-0.0687579821281375,0.3253675190827517,0.0041166666666666,0.0,,,0,,0,-0.6163139152634105,0.4010859268507067,0.580929522066829,fitgrid,disconnected,0
reference,A_spiral,1334,0.7538230884557721,0.8889555222388806,0.7538230884557721,0.8889555222388806,-0.4721371709216458,-0.0194670199904776,0.5207933677974174,0.2640981762220108,-0.0194670199904776,0.2640981762220108,0.012343828085957,0.0,,,0,,0,-0.431358999075556,0.3687218350347483,0.580929522066829,fitgrid,disconnected,0
reference,B_tree,1332,0.6037537537537538,0.7570070070070071,0.6037537537537538,0.7570070070070071,-0.5085958532023297,0.0431221365463628,0.5870277147267318,0.3113132639421862,0.0432206635998019,0.3114117909956253,0.0,0.0,,,0,,0,-0.4477393818901201,0.4952252009974806,0.580929522066829,fitgrid,disconnected,0
reference,C_ellipse,1334,0.7496251874062968,0.748975512243878,0.7496251874062968,0.748975512243878,-0.6946113644892453,-0.2298597059671583,0.7554732980644544,0.4005716669000535,-0.2298597059671583,0.4005716669000535,0.0,0.0,,,0,,0,-0.901869181448807,0.3110263750513027,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_0,180,0.6177777777777778,0.7555555555555555,0.6177777777777778,0.7555555555555555,-0.705686503932315,-0.0792391030466101,0.7372578134648352,0.3472560124654122,-0.0788537535479698,0.3476413619640525,0.0,0.0,,,0,,0,-0.6103486586970979,0.4081304052269969,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_1,170,0.5741176470588235,0.7654901960784313,0.5741176470588235,0.7654901960784313,-0.2180508601219478,0.3080542832958804,0.374015513509882,0.3452956750995823,0.3080542832958804,0.3452956750995823,0.0,0.0,,,0,,0,-0.036243057789253,0.6154745180485756,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_2,170,0.5741176470588235,0.7458823529411764,0.5741176470588235,0.7458823529411764,-0.6168878176083917,-0.0090102853217122,0.6713809871843485,0.3085846244188506,-0.008646313995679,0.3089485957448838,0.0,0.0,,,0,,0,-0.5250100499062541,0.4196937280246053,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_3,212,0.610377358490566,0.75125786163522,0.610377358490566,0.75125786163522,-0.4763642028251086,0.014722684391753,0.595762598455342,0.3136026248839396,0.014722684391753,0.3136026248839396,0.0,0.0,,,0,,0,-0.5667442320980293,0.4777595795961722,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_4,194,0.6391752577319587,0.7855670103092782,0.6391752577319587,0.7855670103092782,-0.5040090374033668,-0.0131568680374399,0.5938860205338636,0.3301579384852087,-0.0131568680374399,0.3301579384852087,0.0,0.0,,,0,,0,-0.581329272230355,0.4432976187374919,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_5,194,0.6,0.7460481099656356,0.6,0.7460481099656356,-0.5238821391095035,0.1224042614319574,0.5755973432185554,0.3361593199040847,0.1224042614319574,0.3361593199040847,0.0,0.0,,,0,,0,-0.4248323463286996,0.6294857749578066,0.580929522066829,fitgrid,disconnected,0
reference,B_branch_6,212,0.6037735849056604,0.75,0.6037735849056604,0.75,-0.509841657080702,-0.0162781067785445,0.5580927407255443,0.2134633481422925,-0.0162781067785445,0.2134633481422925,0.0,0.0,,,0,,0,-0.3390122772460888,0.3237719787923438,0.580929522066829,fitgrid,disconnected,0
query,all,2000,0.6570999999999999,0.7869333333333334,0.6570999999999999,0.7869333333333334,-0.6028557953311511,-0.1060674671391348,0.661702258394998,0.3345564336611226,-0.1060090953339691,0.3346148054662882,0.0036333333333333,0.0,,,0,,0,-0.6685467853594559,0.3831470673019055,0.580929522066829,fitgrid,disconnected,0
