comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,sparse_bridge,0,reference,B_tree,-0.00045045045045033483,-0.01342286094711842,-0.0782361841158479,0.17391304347826086
Uniform minus UMAP,sparse_bridge,0,reference,C_ellipse,-0.03428285857071467,0.05967589082321312,-0.0017995251462583073,0.0
Uniform minus UMAP,sparse_bridge,0,reference,bridge_AB,-0.05500000000000005,0.15558222299602179,0.2825337962385443,0.06583333333333341
Uniform minus UMAP,sparse_bridge,0,reference,bridge_BC,-0.032916666666666816,0.03759385403787929,-0.01426870853683998,0.07
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_0,0.001481481481481528,0.024443035747105213,-0.2011768809432809,
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_1,0.0015686274509805198,-0.0742055162981019,-0.17408267621250922,
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_2,0.007843137254902044,-0.14979678712995093,-0.31484625596329724,
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_3,-0.0003144654088050869,0.08625853957797486,0.0984589306485063,0.31034482758620685
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_4,-0.008934707903780037,0.005191817945017108,0.07263385625542351,
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_5,0.0003436426116838476,-0.0757014987210019,-0.0529277517545934,
Uniform minus UMAP,sparse_bridge,0,reference,B_branch_6,-0.0034591194968552896,0.05279934927706914,-0.04517508383620758,-0.05882352941176472
Uniform minus UMAP,sparse_bridge,0,reference,bridge_near,-0.04119850187265883,0.08714911704090111,0.12266294798059191,0.07006109979633399
Uniform minus UMAP,sparse_bridge,0,query,all,-0.021481481481481546,0.0594009041873545,-0.008611165727154299,0.0683865683865684
Uniform minus UMAP,sparse_bridge,0,query,internal,-0.019266666666666654,0.05625624987889,-0.0205784029529574,0.2380952380952382
Uniform minus UMAP,sparse_bridge,0,query,A_spiral,-0.001999000499749992,0.08319008151036228,0.047257589951060705,0.20000000000000007
Uniform minus UMAP,sparse_bridge,0,query,B_tree,-0.005805805805805697,0.01726431246486615,-0.08903916487988699,-0.055555555555555525
Uniform minus UMAP,sparse_bridge,0,query,C_ellipse,-0.049975012493753135,0.06825589698465878,-0.020056273753024906,0.8888888888888888
Uniform minus UMAP,sparse_bridge,0,query,bridge_AB,-0.05500000000000016,0.1625772859551676,0.2955014514734968,0.06
Uniform minus UMAP,sparse_bridge,0,query,bridge_BC,-0.043333333333333224,0.03484088013115394,-0.013542852282730888,0.0708333333333333
Uniform minus UMAP,sparse_bridge,0,query,B_branch_0,-0.014814814814814614,0.0974700338081988,-0.2042338557736728,
Uniform minus UMAP,sparse_bridge,0,query,B_branch_1,-0.005490196078431486,-0.018023796435414186,-0.18289961926637693,
Uniform minus UMAP,sparse_bridge,0,query,B_branch_2,0.006274509803921413,-0.08997668476963122,-0.30045298071322807,
Uniform minus UMAP,sparse_bridge,0,query,B_branch_3,-0.015094339622641395,0.07913693823156404,0.1145259292751,0.0
Uniform minus UMAP,sparse_bridge,0,query,B_branch_4,-0.009621993127147843,0.06428045881019728,0.03095236059471551,
Uniform minus UMAP,sparse_bridge,0,query,B_branch_5,-0.0020618556701029744,-0.09275315354524144,-0.09402103503214371,
Uniform minus UMAP,sparse_bridge,0,query,B_branch_6,0.0012578616352200145,0.0592368480947672,-0.055246725234318894,-0.1428571428571429
Uniform minus UMAP,sparse_bridge,0,query,bridge_near,-0.04507575757575755,0.08491367298585834,0.13478441065892022,0.0683865683865684
Uniform minus UMAP,sparse_bridge,1,reference,all,-0.02566358024691351,0.03663855324613691,0.0003370274120532996,0.05213849287169041
Uniform minus UMAP,sparse_bridge,1,reference,internal,-0.02454999999999996,0.038524925359747386,-0.0055948591054359,-0.1545454545454545
Uniform minus UMAP,sparse_bridge,1,reference,A_spiral,-0.029785107446276826,0.0667321158899021,0.045213033347956094,-0.3
Uniform minus UMAP,sparse_bridge,1,reference,B_tree,-0.0064564564564565385,0.008626156929177398,-0.04697853039535718,-0.1739130434782609
Uniform minus UMAP,sparse_bridge,1,reference,C_ellipse,-0.03738130934532746,0.040171677520386695,-0.015081124753598907,0.0
