method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
standard_umap,78,0.4,0.8,0.8,0.8666666666666667,0.9064442922539633,0.04356812193173119,0.2169460436506347,0.4417047557534498,0.4644218683242798,55.55555555555556,14
standard_umap,79,0.2,0.8,0.9333333333333333,0.8666666666666667,0.9098386587638351,0.00461145724793948,0.06111586496462175,0.6177032264530946,0.5473029613494873,79.62962962962963,14
standard_umap,80,0.6,0.7,0.9333333333333333,0.9,0.9281340906580431,0.014380445487165707,0.10359789090051669,0.6601995401888022,0.6783714890480042,44.44444444444444,14
standard_umap,81,0.6,0.8,0.9333333333333333,0.9,0.9316048746577043,0.019428495888380873,0.1265912849127085,0.6361581913587859,0.6234040260314941,40.74074074074074,14
standard_umap,82,0.4,0.5,0.8,0.9666666666666667,0.9779678763239384,0.013439922947957091,0.10769396993299517,2.0314746052737784,0.9418986439704895,98.14814814814815,14
standard_umap,83,0.2,0.8,0.9333333333333333,1.0,1.0,0.010185048473666537,0.09547315130059039,0.43065581382643364,0.44516268372535706,38.88888888888889,14
standard_umap,84,0.4,0.7,0.8,0.9333333333333333,0.9557233482059448,0.01068754833038429,0.07368370261834707,0.5144951191205483,0.3996189534664154,94.44444444444444,14
standard_umap,85,0.6,0.7,0.7333333333333333,0.8333333333333334,0.8864928257222762,0.022391766813110028,0.12999213488854744,0.6051364384249917,0.47979530692100525,74.07407407407408,14
standard_umap,86,0.4,0.7,0.8,0.9333333333333333,0.9557233482059448,0.004417554211152777,0.05306309444075486,0.6000176731757022,0.5107393860816956,55.55555555555556,14
standard_umap,87,0.2,0.7,0.8,1.0,1.0,0.005796199637889939,0.0633284348115611,1.057289932779066,0.8314626812934875,81.48148148148148,14
standard_umap,88,0.4,0.7,0.8,0.7333333333333333,0.8035870379235575,0.04098758781109701,0.20722980559861023,0.48830647496794105,0.47105687856674194,64.81481481481481,14
