split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,stage
reference,B_branch_2,170,0.8494117647058822,0.8627450980392158,0.8588235294117647,0.8803921568627452,1.4885931317725762,1.4772280338710422,1.4885931317725762,1.4772280338710422,1.4991258252155697,1.4991258252155697,0.0,0.0,,,0,,0,1.399582510791602,1.5751181283457667,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_3,212,0.5896226415094338,0.659119496855346,0.5896226415094338,0.6632075471698113,-0.03425115205641017,0.062368349756781676,0.37155881555426234,0.24534193101519813,0.06798509750714932,0.25095867876556577,0.0,0.05723270440251571,,,0,,0,-0.2782038332607659,0.5819260193376083,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_4,194,0.6649484536082474,0.742955326460481,0.6701030927835051,0.7494845360824741,0.48420423025419845,0.5544812218901716,0.4974907963334496,0.5744269474020604,0.5606234052861392,0.5805691307980281,0.0,0.08213058419243986,,,0,,0,0.2700862160035353,0.7795401329465714,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_5,194,0.8185567010309279,0.8230240549828179,0.8185567010309279,0.8230240549828179,1.1164781037097247,1.1150832673557438,1.1164781037097247,1.1150832673557438,1.1150832673557438,1.1150832673557438,0.0,0.0,,,0,,0,0.796368868478216,1.444290734308,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_6,212,0.8367924528301885,0.8622641509433963,0.8367924528301885,0.8622641509433963,1.2707749197678182,1.2758364217879894,1.2707749197678182,1.2758364217879894,1.2758364217879894,1.2758364217879894,0.0,0.0,,,0,,0,1.1103600257192656,1.4615118671694076,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,all,1333,0.6591147786946736,0.7122280570142535,0.6642160540135034,0.7213803450862717,0.10070900712919788,0.15520450762781907,0.8856360336579454,0.8458859767659974,0.16821726919136107,0.8488579943440022,0.06346586646661666,0.010902725681420354,,,0,,0,-1.0066023746774906,1.4510470898195638,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,internal,1333,0.6591147786946736,0.7122280570142535,0.6642160540135034,0.7213803450862717,0.10070900712919788,0.15520450762781907,0.8856360336579454,0.8458859767659974,0.16821726919136107,0.8488579943440022,0.06346586646661666,0.010902725681420354,,,0,,0,-1.0066023746774906,1.4510470898195638,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,A_spiral,667,0.5724137931034483,0.6379810094952524,0.5739130434782609,0.6430784607696152,-0.7520521628213258,-0.6600009762119616,0.7564373817116412,0.6846269765473157,-0.652263137189968,0.676889137525322,0.1268365817091454,0.0,,,0,,0,-1.3303125318143718,-0.03678766167377176,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_tree,666,0.7459459459459459,0.7865865865865866,0.7546546546546546,0.7997997997997999,0.9547505992568245,0.9716340237256174,1.015028677574139,1.0073871076156384,0.9899296281348242,1.0210850626594072,0.0,0.02182182182182182,,,0,,0,0.03315946555332585,1.5064249752760077,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_0,90,0.7399999999999998,0.7666666666666665,0.7399999999999998,0.7666666666666665,1.4011822940257928,1.3958955506164554,1.4011822940257928,1.3958955506164554,1.3958955506164554,1.3958955506164554,0.0,0.0,,,0,,0,1.2199121658409267,1.5427853245050664,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_1,85,0.7364705882352941,0.748235294117647,0.8047058823529409,0.8360784313725488,1.0697681053959784,1.0796634607814486,1.1137856701102011,1.115687395809468,1.2041413017908922,1.2041413017908922,0.0,0.0,,,0,,0,0.27430593324716734,1.4793093761703895,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_2,85,0.8611764705882353,0.8737254901960784,0.8611764705882353,0.88,1.503134081238643,1.489349637106655,1.503134081238643,1.489349637106655,1.4951823253902028,1.4951823253902028,0.0,0.0,,,0,,0,1.401712756199821,1.567112841994073,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_3,106,0.5716981132075472,0.6591194968553459,0.5716981132075472,0.6628930817610063,0.01959336222436345,0.07086678110526955,0.3315183937379358,0.25346442481237885,0.07607875677848862,0.2586764004855979,0.0,0.057232704402515724,,,0,,0,-0.29261213194605346,0.56719972578117,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_4,97,0.6721649484536083,0.7463917525773195,0.6721649484536083,0.7505154639175258,0.4433361655417458,0.5366516331711103,0.4777655863477652,0.5510245111135722,0.5423836756996284,0.5567565536420904,0.0,0.08728522336769759,,,0,,0,0.23575625253992064,0.7614600513389334,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_5,97,0.8061855670103092,0.8460481099656357,0.8061855670103092,0.8460481099656357,1.1393108332111503,1.1170848097587764,1.1393108332111503,1.1170848097587764,1.1170848097587764,1.1170848097587764,0.0,0.0,,,0,,0,0.7945803780562732,1.45065637761997,2.3432890041110275,baseline_3_to_2,disconnected,0.0
query,B_branch_6,106,0.8528301886792452,0.8742138364779874,0.8528301886792452,0.8742138364779874,1.2779919953204482,1.275351256263526,1.2779919953204482,1.275351256263526,1.275351256263526,1.275351256263526,0.0,0.0,,,0,,0,1.0953854059154706,1.4772402127937259,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,all,2666,0.0687171792948237,0.19489872468117025,0.08034508627156789,0.23170792698174544,0.1476565079188647,0.07454299889614177,0.4214111675596936,0.3740609385009658,0.18249193625323976,0.41952733847523493,0.09159789947486872,0.032658164541135286,,,0,,0,-0.4747333682358692,0.6805285602113111,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,internal,2666,0.0687171792948237,0.19489872468117025,0.08034508627156789,0.23170792698174544,0.1476565079188647,0.07454299889614177,0.4214111675596936,0.3740609385009658,0.18249193625323976,0.41952733847523493,0.09159789947486872,0.032658164541135286,,,0,,0,-0.4747333682358692,0.6805285602113111,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,A_spiral,1334,0.07511244377811095,0.20004997501249375,0.08920539730134933,0.2350324837581209,-0.15540223953372143,-0.264985290535574,0.32153037309162785,0.3055454529051926,-0.1522850917324333,0.303052804162995,0.1830584707646177,0.0,,,0,,0,-0.5791487091335771,0.010647057866475766,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_tree,1332,0.06231231231231231,0.1897397397397397,0.07147147147147147,0.22837837837837838,0.4511702985357941,0.4145810905642415,0.5214419331906244,0.44267930020123725,0.5177716324491015,0.5361767594756313,0.0,0.06536536536536536,,,0,,0,-0.0019778339298629835,0.851195274799098,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_0,180,0.05444444444444445,0.18259259259259258,0.05555555555555555,0.18592592592592594,0.5079731773964634,0.419281449573186,0.5557413665294472,0.4395780607536987,0.4351447865463344,0.45500615076209017,0.0,0.10333333333333335,,,0,,0,0.04834243123306439,0.8729573721163715,0.3056641893988963,baseline_3_to_2,disconnected,0.25
