condition,method,stage,split,k,recall
sparse_bridge,direct_2,0.5,reference,400,0.7660344827586207
sparse_bridge,direct_2,0.5,query,5,0.16881559220389805
sparse_bridge,direct_2,0.5,query,15,0.432783608195902
sparse_bridge,direct_2,0.5,query,50,0.6843778110944528
sparse_bridge,direct_2,0.5,query,100,0.6684107946026987
sparse_bridge,direct_2,0.5,query,200,0.6737556221889055
sparse_bridge,direct_2,0.5,query,400,0.7673200899550225
sparse_bridge,direct_2,0.75,reference,5,0.1790104947526237
sparse_bridge,direct_2,0.75,reference,15,0.5716641679160419
sparse_bridge,direct_2,0.75,reference,50,0.8007346326836582
sparse_bridge,direct_2,0.75,reference,100,0.7244677661169415
sparse_bridge,direct_2,0.75,reference,200,0.6937368815592203
sparse_bridge,direct_2,0.75,reference,400,0.7809707646176912
sparse_bridge,direct_2,0.75,query,5,0.2545727136431784
sparse_bridge,direct_2,0.75,query,15,0.6608695652173914
sparse_bridge,direct_2,0.75,query,50,0.8276761619190404
sparse_bridge,direct_2,0.75,query,100,0.7391454272863568
sparse_bridge,direct_2,0.75,query,200,0.6959370314842579
sparse_bridge,direct_2,0.75,query,400,0.7824137931034483
sparse_bridge,direct_2,1.0,reference,5,0.7548725637181408
sparse_bridge,direct_2,1.0,reference,15,0.8898050974512746
sparse_bridge,direct_2,1.0,reference,50,0.8915442278860571
sparse_bridge,direct_2,1.0,reference,100,0.7677961019490255
sparse_bridge,direct_2,1.0,reference,200,0.7101949025487257
sparse_bridge,direct_2,1.0,reference,400,0.7918197151424288
sparse_bridge,direct_2,1.0,query,5,0.7190404797601199
sparse_bridge,direct_2,1.0,query,15,0.8926536731634183
sparse_bridge,direct_2,1.0,query,50,0.8949025487256373
sparse_bridge,direct_2,1.0,query,100,0.7722038980509746
sparse_bridge,direct_2,1.0,query,200,0.7110419790104948
sparse_bridge,direct_2,1.0,query,400,0.7918703148425787
sparse_bridge,spectral_100_pca_2,0.0,reference,5,0.5554722638680659
sparse_bridge,spectral_100_pca_2,0.0,reference,15,0.6488255872063968
sparse_bridge,spectral_100_pca_2,0.0,reference,50,0.6300449775112444
sparse_bridge,spectral_100_pca_2,0.0,reference,100,0.581056971514243
sparse_bridge,spectral_100_pca_2,0.0,reference,200,0.6363530734632683
sparse_bridge,spectral_100_pca_2,0.0,reference,400,0.7433883058470765
sparse_bridge,spectral_100_pca_2,0.0,query,5,0.5778110944527736
sparse_bridge,spectral_100_pca_2,0.0,query,15,0.6603698150924538
sparse_bridge,spectral_100_pca_2,0.0,query,50,0.6397301349325338
sparse_bridge,spectral_100_pca_2,0.0,query,100,0.5844677661169416
sparse_bridge,spectral_100_pca_2,0.0,query,200,0.6366041979010495
sparse_bridge,spectral_100_pca_2,0.0,query,400,0.7438793103448276
sparse_bridge,spectral_100_pca_2,0.25,reference,5,0.11169415292353824
sparse_bridge,spectral_100_pca_2,0.25,reference,15,0.2856571714142929
sparse_bridge,spectral_100_pca_2,0.25,reference,50,0.4826986506746627
sparse_bridge,spectral_100_pca_2,0.25,reference,100,0.5150824587706146
sparse_bridge,spectral_100_pca_2,0.25,reference,200,0.5497601199400299
sparse_bridge,spectral_100_pca_2,0.25,reference,400,0.6631671664167916
sparse_bridge,spectral_100_pca_2,0.25,query,5,0.1373313343328336
sparse_bridge,spectral_100_pca_2,0.25,query,15,0.335632183908046
sparse_bridge,spectral_100_pca_2,0.25,query,50,0.5283058470764618
sparse_bridge,spectral_100_pca_2,0.25,query,100,0.5440029985007496
sparse_bridge,spectral_100_pca_2,0.25,query,200,0.5581784107946027
sparse_bridge,spectral_100_pca_2,0.25,query,400,0.6672976011994003
sparse_bridge,spectral_100_pca_2,0.5,reference,5,0.15487256371814095
